   0.0000000e+00   1.8257419e+00   0.0000000e+00   2.4299666e+00   8.6602540e-01
   1.0000000e-03   1.8257413e+00   1.4049628e-03   3.1000000e+03   7.1176263e+02
   2.0000000e-03   1.8257397e+00   2.8099246e-03   3.1000000e+03   7.1176312e+02
   3.0000000e-03   1.8257370e+00   4.2148845e-03   3.1000000e+03   7.1176410e+02
   4.0000000e-03   1.8257332e+00   5.6198414e-03   3.1000000e+03   7.1176558e+02
   5.0000000e-03   1.8257283e+00   7.0247945e-03   3.1000000e+03   7.1176754e+02
   6.0000000e-03   1.8257224e+00   8.4297427e-03   3.1000000e+03   7.1177000e+02
   7.0000000e-03   1.8257154e+00   9.8346851e-03   3.1000000e+03   7.1177295e+02
   8.0000000e-03   1.8257073e+00   1.1239621e-02   3.1000000e+03   7.1177639e+02
   9.0000000e-03   1.8256981e+00   1.2644549e-02   3.1000000e+03   7.1178033e+02
   1.0000000e-02   1.8256878e+00   1.4049468e-02   3.1000000e+03   7.1178475e+02
   1.1000000e-02   1.8256764e+00   1.5454377e-02   3.1000000e+03   7.1178967e+02
   1.2000000e-02   1.8256640e+00   1.6859276e-02   3.1000000e+03   7.1179508e+02
   1.3000000e-02   1.8256505e+00   1.8264163e-02   3.1000000e+03   7.1180098e+02
   1.4000000e-02   1.8256359e+00   1.9669037e-02   3.1000000e+03   7.1180738e+02
   1.5000000e-02   1.8256202e+00   2.1073898e-02   3.1000000e+03   7.1181426e+02
   1.6000000e-02   1.8256035e+00   2.2478744e-02   3.1000000e+03   7.1182164e+02
   1.7000000e-02   1.8255856e+00   2.3883575e-02   3.1000000e+03   7.1182951e+02
   1.8000000e-02   1.8255667e+00   2.5288390e-02   3.1000000e+03   7.1183787e+02
   1.9000000e-02   1.8255467e+00   2.6693186e-02   3.1000000e+03   7.1184673e+02
   2.0000000e-02   1.8255256e+00   2.8097965e-02   3.1000000e+03   7.1185607e+02
   2.1000000e-02   1.8255035e+00   2.9502724e-02   3.1000000e+03   7.1186591e+02
   2.2000000e-02   1.8254802e+00   3.0907462e-02   3.1000000e+03   7.1187624e+02
   2.3000000e-02   1.8254559e+00   3.2312179e-02   3.1000000e+03   7.1188706e+02
   2.4000000e-02   1.8254305e+00   3.3716874e-02   3.1000000e+03   7.1189838e+02
   2.5000000e-02   1.8254040e+00   3.5121546e-02   3.1000000e+03   7.1191019e+02
   2.6000000e-02   1.8253764e+00   3.6526193e-02   3.1000000e+03   7.1192249e+02
   2.7000000e-02   1.8253478e+00   3.7930815e-02   3.1000000e+03   7.1193528e+02
   2.8000000e-02   1.8253181e+00   3.9335411e-02   3.1000000e+03   7.1194857e+02
   2.9000000e-02   1.8252873e+00   4.0739980e-02   3.1000000e+03   7.1196234e+02
   3.0000000e-02   1.8252554e+00   4.2144520e-02   3.1000000e+03   7.1197662e+02
   3.1000000e-02   1.8252224e+00   4.3549032e-02   3.1000000e+03   7.1199138e+02
   3.2000000e-02   1.8251884e+00   4.4953513e-02   3.1000000e+03   7.1200664e+02
   3.3000000e-02   1.8251532e+00   4.6357963e-02   3.1000000e+03   7.1202239e+02
   3.4000000e-02   1.8251170e+00   4.7762381e-02   3.1000000e+03   7.1203863e+02
   3.5000000e-02   1.8250797e+00   4.9166766e-02   3.1000000e+03   7.1205537e+02
   3.6000000e-02   1.8250413e+00   5.0571118e-02   3.1000000e+03   7.1207260e+02
   3.7000000e-02   1.8250019e+00   5.1975434e-02   3.1000000e+03   7.1209032e+02
   3.8000000e-02   1.8249614e+00   5.3379714e-02   3.1000000e+03   7.1210854e+02
   3.9000000e-02   1.8249197e+00   5.4783958e-02   3.1000000e+03   7.1212725e+02
   4.0000000e-02   1.8248770e+00   5.6188163e-02   3.1000000e+03   7.1214645e+02
   4.1000000e-02   1.8248333e+00   5.7592330e-02   3.1000000e+03   7.1216615e+02
   4.2000000e-02   1.8247884e+00   5.8996457e-02   3.1000000e+03   7.1218634e+02
   4.3000000e-02   1.8247425e+00   6.0400543e-02   3.1000000e+03   7.1220703e+02
   4.4000000e-02   1.8246955e+00   6.1804587e-02   3.1000000e+03   7.1222821e+02
   4.5000000e-02   1.8246474e+00   6.3208589e-02   3.1000000e+03   7.1224989e+02
   4.6000000e-02   1.8245982e+00   6.4612547e-02   3.1000000e+03   7.1227206e+02
   4.7000000e-02   1.8245479e+00   6.6016460e-02   3.1000000e+03   7.1229472e+02
   4.8000000e-02   1.8244966e+00   6.7420328e-02   3.1000000e+03   7.1231788e+02
   4.9000000e-02   1.8244442e+00   6.8824149e-02   3.1000000e+03   7.1234153e+02
   5.0000000e-02   1.8243907e+00   7.0227922e-02   3.1000000e+03   7.1236568e+02
   5.1000000e-02   1.8243361e+00   7.1631647e-02   3.1000000e+03   7.1239032e+02
   5.2000000e-02   1.8242805e+00   7.3035322e-02   3.1000000e+03   7.1241546e+02
   5.3000000e-02   1.8242237e+00   7.4438947e-02   3.1000000e+03   7.1244109e+02
   5.4000000e-02   1.8241659e+00   7.5842520e-02   3.1000000e+03   7.1246722e+02
   5.5000000e-02   1.8241070e+00   7.7246041e-02   3.1000000e+03   7.1249385e+02
   5.6000000e-02   1.8240470e+00   7.8649509e-02   3.1000000e+03   7.1252097e+02
   5.7000000e-02   1.8239860e+00   8.0052922e-02   3.1000000e+03   7.1254859e+02
   5.8000000e-02   1.8239238e+00   8.1456279e-02   3.1000000e+03   7.1257670e+02
   5.9000000e-02   1.8238606e+00   8.2859581e-02   3.1000000e+03   7.1260531e+02
