Wavelength,Excitation,Emission
644,98.86211,30.17525
645,99.63186,33.69167
646,100,37.78365
647,99.73226,42.03924
648,98.94579,45.89583
649,97.67403,50.62937
650,95.11379,54.77014
651,92.72088,59.83954
652,89.87617,64.78119
653,85.37484,70.11037
654,81.71017,74.24254
655,77.72758,79.49564
656,71.93775,83.38668
657,67.57028,88.06424
658,63.11914,90.97355
659,57.01138,93.78239
660,52.69411,96.60414
661,48.47724,98.98813
662,42.98862,99.06994
663,39.19009,99.78327
664,35.6091,100
665,31.05756,99.94977
666,28.06225,98.68098
667,25.3012,96.51945
668,21.88755,94.20722
669,19.66198,91.51321
670,17.62048,89.06464
671,15.14391,85.35014
672,13.55422,82.0002
673,12.11513,78.3833
674,10.39157,74.953
675,9.287148,71.29304
676,8.283133,68.04932
677,7.06158,64.48696
678,6.308568,61.09971
679,5.62249,57.95932
680,4.819277,54.6869
681,4.283802,51.80342
682,3.815261,49.23571
683,3.263052,46.48285
684,2.911647,43.86204
685,2.610442,41.18956
686,2.242302,39.89494
687,2.008032,37.84106
688,1.807229,35.95798
689,1.556225,34.38922
690,1.388889,32.81903
691,1.25502,31.39667
692,1.087684,30.28433
693,0.9872825,29.13324
694,0.8868808,28.25341
695,0.7697456,27.309
696,0.6860777,26.72484
697,0.6191432,25.84645
698,0.5187417,25.17331
699,0.4685408,24.90778
700,0.41834,24.31358
701,0.3514056,24.02078
702,0.3179384,23.71507
703,0.3012048,23.55862
704,0.251004,23.27444
705,0.2342704,23.10077
706,0.2175368,23.2974
707,0.2008032,22.8984
708,0.1840696,22.874
709,0.167336,22.87543
710,0.1506024,22.79362
711,0.1338688,22.95868
712,0.1338688,22.91131
713,0.1004016,22.9759
714,0.0837,22.82663
715,0.0669344,22.78645
716,0.0334672,23.0204
717,0.0334672,22.66158
718,0.0334672,22.74195
719,0.0167336,22.4793
720,0.0167336,22.59699
721,0.0167336,22.21234
722,0,22.11617
723,0,22.52092
724,-0.0167336,22.16641
725,-0.0334672,21.78606
726,-0.0502,21.49757
727,-0.0334672,21.35691
728,-0.0502,20.72395
729,-0.0502,20.45125
730,-0.0502,20.22448
731,-0.0669344,19.6475
732,-0.0669344,19.55994
733,-0.0502,19.06047
734,-0.0502,18.66002
735,-0.0502,18.12467
736,-0.0502,17.57065
737,-0.0502,17.30082
738,-0.0502,16.89751
739,-0.0502,16.1081
740,-0.0502,15.89425
741,-0.0502,15.25412
742,-0.0502,14.69149
743,-0.0334672,14.14264
744,-0.0334672,13.60728
745,-0.0334672,13.02484
746,-0.0334672,12.60115
747,-0.0502,11.91466
748,-0.0334672,11.42465
749,-0.0334672,10.93006
750,-0.0334672,10.65779
751,0,10.03746
752,0,9.843986
753,0,9.347093
754,0,8.931724
755,0,8.366512
756,0,8.307953
757,0,7.869189
758,0,7.291203
759,0,7.142078
760,0,6.839952
761,0,6.467928
762,0,6.301867
763,0,6.208144
764,0,5.647381
765,0,5.397356
766,0,5.367933
767,0,5.098101
768,0,4.911659
769,0,4.720049
770,0,4.605515
771,0,4.495285
772,0,4.457681
773,0,4.085371
774,0,4.133595
775,0,3.920457
776,0,3.783244
777,0,3.826447
778,0,3.68378
779,0,3.543266
780,0,3.582449
781,0,3.621633
782,0,3.473081
783,0,3.42055
784,0,3.264679
785,0,3.303719
786,0,3.146125
787,0,3.078955
788,0,3.01408
789,0,2.942747
790,0,2.971883
791,0,3.005181
792,0,2.929686
793,0,2.961836
794,0,2.993986
795,0,2.698319
796,0,2.730613
797,0,2.75573
798,0,2.676503
799,0,2.707505
800,0,0
801,0,0
802,0,0
803,0,0
804,0,0
805,0,0
806,0,0
807,0,0
808,0,0
809,0,0
810,0,0
811,0,0
812,0,0
813,0,0
814,0,0
815,0,0
816,0,0
817,0,0
818,0,0
819,0,0
820,0,0
821,0,0
822,0,0
823,0,0
824,0,0
825,0,0
826,0,0
827,0,0
828,0,0
829,0,0
830,0,0
831,0,0
832,0,0
833,0,0
834,0,0
835,0,0
836,0,0
837,0,0
838,0,0
839,0,0
840,0,0
841,0,0
842,0,0
843,0,0
844,0,0
845,0,0
846,0,0
847,0,0
848,0,0
849,0,0
850,0,0
851,0,0
852,0,0
853,0,0
854,0,0
855,0,0
856,0,0
857,0,0
858,0,0
859,0,0
860,0,0
861,0,0
862,0,0
863,0,0
864,0,0
865,0,0
866,0,0
867,0,0
868,0,0
869,0,0
870,0,0
871,0,0
872,0,0
873,0,0
874,0,0
875,0,0
876,0,0
877,0,0
878,0,0
879,0,0
880,0,0
881,0,0
882,0,0
883,0,0
884,0,0
885,0,0
886,0,0
887,0,0
888,0,0
889,0,0
890,0,0
891,0,0
892,0,0
893,0,0
894,0,0
895,0,0
896,0,0
897,0,0
898,0,0
899,0,0
900,0,0
901,0,0
902,0,0
903,0,0
904,0,0
905,0,0
906,0,0
907,0,0
908,0,0
909,0,0
910,0,0
911,0,0
912,0,0
913,0,0
914,0,0
915,0,0
916,0,0
917,0,0
918,0,0
919,0,0
920,0,0
921,0,0
922,0,0
923,0,0
924,0,0
925,0,0
926,0,0
927,0,0
928,0,0
929,0,0
930,0,0
931,0,0
932,0,0
933,0,0
934,0,0
935,0,0
936,0,0
937,0,0
938,0,0
939,0,0
940,0,0
941,0,0
942,0,0
943,0,0
944,0,0
945,0,0
946,0,0
947,0,0
948,0,0
949,0,0
950,0,0
951,0,0
952,0,0
953,0,0
954,0,0
955,0,0
956,0,0
957,0,0
958,0,0
959,0,0
960,0,0
961,0,0
962,0,0
963,0,0
964,0,0
965,0,0
966,0,0
967,0,0
968,0,0
969,0,0
970,0,0
971,0,0
972,0,0
973,0,0
974,0,0
975,0,0
976,0,0
977,0,0
978,0,0
979,0,0
980,0,0
981,0,0
982,0,0
983,0,0
984,0,0
985,0,0
986,0,0
987,0,0
988,0,0
989,0,0
990,0,0
991,0,0
992,0,0
993,0,0
994,0,0
995,0,0
996,0,0
997,0,0
998,0,0
999,0,0
