27436100000000	6888300000000000
27493100000000	6646000000000000
27558800000000	6403700000000000
27624500000000	6161400000000000
27681500000000	5915700000000000
27747200000000	5673500000000000
27821500000000	5434600000000000
27895900000000	5192300000000000
27974600000000	4950000000000000
28066300000000	4714600000000000
28149400000000	4479199999999999.5
28228100000000	4236900000000000.5
28311100000000	3994600000000000
28389800000000	3752300000000000
28464200000000	3510000000000000
28538500000000	3267700000000000
28599900000000	3028900000000000
28656900000000	2783200000000000
28718200000000	2537500000000000
28775300000000	2295200000000000
28823600000000	2049500000000000
28863300000000	1803900000000000
28889800000000	1558200000000000
28920800000000	1309100000000000
28977800000000	1063399999999999.9
29047900000000	821070000000000
29100500000000	564980000000000
29157600000000	312350000000000
29188500000000	97813000000000
29188900000000	0
30000000000000	0
