   2.9411765e+05   7.0102550e-01   1.5276982e-01
   2.7777778e+05   6.7821472e-01   1.8109696e-01
   2.6315789e+05   6.5509498e-01   2.1313578e-01
   2.5000000e+05   6.3268614e-01   2.4785908e-01
   2.3809524e+05   6.1127085e-01   2.8882476e-01
   2.2727273e+05   5.9270332e-01   3.3345407e-01
   2.1739130e+05   5.7713916e-01   3.8415737e-01
   2.0833333e+05   5.7222853e-01   4.4629077e-01
   2.0000000e+05   5.8361743e-01   4.9244520e-01
   1.9230769e+05   5.9126454e-01   5.2350291e-01
   1.8518519e+05   5.8806486e-01   5.5292888e-01
   1.7857143e+05   5.7521774e-01   5.8470650e-01
   1.7271157e+05   5.5172913e-01   6.2205774e-01
   1.6666667e+05   5.2065247e-01   6.8466242e-01
   1.6155089e+05   4.9863033e-01   7.6660440e-01
   1.5625000e+05   4.9866960e-01   8.7219596e-01
   1.5128593e+05   5.2906504e-01   9.6858094e-01
   1.4684288e+05   5.7002012e-01   1.0604679e+00
   1.4285714e+05   6.2847818e-01   1.1367993e+00
   1.3908206e+05   6.9888369e-01   1.1965194e+00
   1.3513514e+05   7.6556247e-01   1.2177030e+00
   1.3157895e+05   7.9877499e-01   1.2525445e+00
   1.2820513e+05   8.2545466e-01   1.3008713e+00
   1.2500000e+05   8.6006787e-01   1.3629221e+00
   1.2195122e+05   9.0539123e-01   1.4349100e+00
   1.1918951e+05   9.6080032e-01   1.5136628e+00
   1.1641444e+05   1.0445007e+00   1.5964693e+00
   1.1376564e+05   1.1546787e+00   1.6549764e+00
   1.1123471e+05   1.2705219e+00   1.7012779e+00
   1.0869565e+05   1.3990265e+00   1.7346269e+00
   1.0638298e+05   1.5299010e+00   1.7456499e+00
   1.0427529e+05   1.6658114e+00   1.7247642e+00
   1.0214505e+05   1.7889266e+00   1.6742482e+00
   1.0000000e+05   1.8855813e+00   1.6036180e+00
   9.8039216e+04   1.9611006e+00   1.5502250e+00
   9.6153846e+04   2.0270266e+00   1.4855835e+00
   9.4339623e+04   2.0773399e+00   1.4283593e+00
   9.2592593e+04   2.1197224e+00   1.3681829e+00
   9.0909091e+04   2.1527361e+00   1.3148824e+00
   8.9285714e+04   2.1851145e+00   1.2743513e+00
   8.7719298e+04   2.2222992e+00   1.2314824e+00
   8.6206897e+04   2.2498317e+00   1.1858216e+00
   8.4745763e+04   2.2755193e+00   1.1526488e+00
   8.3333333e+04   2.3067152e+00   1.1238264e+00
   8.1967213e+04   2.3440537e+00   1.0960722e+00
   8.0645161e+04   2.3961566e+00   1.0743846e+00
   7.9365079e+04   2.4757704e+00   1.0343078e+00
   7.8125000e+04   2.5636058e+00   9.3704947e-01
   7.6923077e+04   2.6123416e+00   7.8097982e-01
   7.5757576e+04   2.5875521e+00   6.0566308e-01
   7.4626866e+04   2.4940452e+00   4.7270786e-01
   7.3529412e+04   2.3428452e+00   4.0868320e-01
   7.2463768e+04   2.2186629e+00   4.2494096e-01
   7.1428571e+04   2.1359965e+00   4.9429934e-01
   7.0422535e+04   2.0986894e+00   5.6413321e-01
   6.9444444e+04   2.0873648e+00   6.3406402e-01
   6.8493151e+04   2.1006880e+00   7.0819055e-01
   6.7567568e+04   2.1490662e+00   7.8648293e-01
   6.6666667e+04   2.2375517e+00   8.4278690e-01
   6.5789474e+04   2.3566900e+00   8.6420787e-01
   6.4935065e+04   2.4834011e+00   8.2398028e-01
   6.4102564e+04   2.5710115e+00   7.5835750e-01
   6.3291139e+04   2.6536296e+00   6.6315509e-01
   6.2500000e+04   2.6952182e+00   5.5116146e-01
   6.1728395e+04   2.7139096e+00   4.4628759e-01
   6.0975610e+04   2.7219236e+00   3.4384480e-01
   6.0240964e+04   2.7081743e+00   2.3852108e-01
   5.9523810e+04   2.6718277e+00   1.3080496e-01
   5.8823529e+04   2.5777909e+00   1.2844440e-02
   5.8139535e+04   2.4591939e+00   6.2727320e-03
   5.7471264e+04   2.4006762e+00   3.6566123e-03
   5.7142857e+04   2.3810396e+00   2.5892580e-03
   5.5555556e+04   2.2902070e+00   1.8160116e-04
   5.4054054e+04   2.2257089e+00   3.7297025e-06
   5.2631579e+04   2.1761649e+00   1.0680325e-06
   5.1282051e+04   2.1390320e+00   5.4114091e-07
   5.0000000e+04   2.1075026e+00   3.1937928e-07
   4.8780488e+04   2.0802178e+00   1.9355612e-07
   4.7619048e+04   2.0583210e+00   1.1018381e-07
   4.6511628e+04   2.0386928e+00   5.7113120e-08
   4.5454545e+04   2.0209551e+00   3.6108716e-08
   4.4444444e+04   2.0048323e+00   3.2849367e-08
   4.3478261e+04   1.9900801e+00   3.1035444e-08
   4.2553191e+04   1.9778428e+00   3.0096061e-08
   4.1666667e+04   1.9665042e+00   2.9448741e-08
   4.0816327e+04   1.9559001e+00   2.7690993e-08
   4.0000000e+04   1.9460055e+00   2.5974770e-08
   3.9215686e+04   1.9367565e+00   2.3964626e-08
   3.8461538e+04   1.9289904e+00   2.2194318e-08
   3.7735849e+04   1.9216586e+00   2.0627236e-08
   3.7037037e+04   1.9146976e+00   1.8957046e-08
   3.6363636e+04   1.9081030e+00   1.7377270e-08
   3.5714286e+04   1.9018396e+00   1.5969654e-08
   3.5087719e+04   1.8958591e+00   1.4870542e-08
   3.4482759e+04   1.8908615e+00   1.3200826e-08
   3.3898305e+04   1.8853981e+00   1.2083262e-08
   3.3333333e+04   1.8808394e+00   1.1382927e-08
   3.2786885e+04   1.8764589e+00   1.0492967e-08
   3.2258065e+04   1.8722093e+00   9.7148377e-09
   3.1746032e+04   1.8681750e+00   9.0756317e-09
