wl,n,k
1.73E+01,1.369211,4.29E-01
1.73E+01,1.370751,4.29E-01
1.74E+01,1.374519,4.29E-01
1.75E+01,1.376758,4.29E-01
1.75E+01,1.378598,4.28E-01
1.75E+01,1.380029,4.28E-01
1.76E+01,1.38366,4.28E-01
1.77E+01,1.385875,4.28E-01
1.77E+01,1.387734,4.27E-01
1.77E+01,1.389417,4.27E-01
1.78E+01,1.390838,4.26E-01
1.79E+01,1.394313,4.27E-01
1.79E+01,1.396377,4.26E-01
1.79E+01,1.398169,4.26E-01
1.80E+01,1.399826,4.25E-01
1.80E+01,1.401123,4.25E-01
1.81E+01,1.404604,4.25E-01
1.82E+01,1.406786,4.25E-01
1.82E+01,1.408657,4.24E-01
1.82E+01,1.410419,4.24E-01
1.83E+01,1.412092,4.23E-01
1.84E+01,1.415276,4.23E-01
1.84E+01,1.417548,4.23E-01
1.85E+01,1.419809,4.22E-01
1.85E+01,1.421557,4.21E-01
1.85E+01,1.42282,4.21E-01
1.86E+01,1.426178,4.21E-01
1.87E+01,1.428308,4.20E-01
1.87E+01,1.429982,4.19E-01
1.87E+01,1.43124,4.18E-01
1.88E+01,1.432797,4.18E-01
1.88E+01,1.434643,4.17E-01
1.89E+01,1.435881,4.16E-01
1.90E+01,1.439563,4.16E-01
1.90E+01,1.441618,4.14E-01
1.91E+01,1.442846,4.13E-01
1.91E+01,1.444197,4.12E-01
1.91E+01,1.445486,4.11E-01
1.92E+01,1.446666,4.10E-01
1.92E+01,1.447502,4.09E-01
1.93E+01,1.450255,4.09E-01
1.94E+01,1.452188,4.08E-01
1.94E+01,1.453825,4.07E-01
1.95E+01,1.455604,4.06E-01
1.95E+01,1.456898,4.04E-01
1.95E+01,1.457713,4.03E-01
1.96E+01,1.458719,4.03E-01
1.96E+01,1.45969,4.02E-01
1.97E+01,1.460391,4.01E-01
1.98E+01,1.463349,4.01E-01
1.98E+01,1.4654,3.99E-01
1.99E+01,1.466543,3.97E-01
1.99E+01,1.467,3.95E-01
2.00E+01,1.467249,3.94E-01
2.00E+01,1.467642,3.93E-01
2.10E+01,1.483693,3.82E-01
2.20E+01,1.499422,3.72E-01
2.30E+01,1.516402,3.63E-01
2.40E+01,1.529309,3.48E-01
2.50E+01,1.537967,3.36E-01
2.60E+01,1.54408,3.23E-01
2.70E+01,1.54667,3.10E-01
2.80E+01,1.546272,2.99E-01
2.90E+01,1.542658,2.89E-01
3.00E+01,1.5355,2.82E-01
3.10E+01,1.527225,2.79E-01
3.20E+01,1.519076,2.80E-01
3.30E+01,1.511879,2.83E-01
3.40E+01,1.505906,2.86E-01
3.50E+01,1.498932,2.92E-01
3.60E+01,1.49296,2.99E-01
3.70E+01,1.48674,3.07E-01
3.80E+01,1.481006,3.19E-01
3.90E+01,1.478232,3.32E-01
4.00E+01,1.476571,3.44E-01
4.10E+01,1.475642,3.59E-01
4.20E+01,1.477194,3.74E-01
4.30E+01,1.480747,3.88E-01
4.40E+01,1.485266,4.03E-01
4.50E+01,1.491543,4.18E-01
4.60E+01,1.499424,4.32E-01
4.70E+01,1.508821,4.46E-01
4.80E+01,1.520272,4.58E-01
4.90E+01,1.531473,4.68E-01
5.00E+01,1.54227,4.77E-01
5.20E+01,1.567492,4.97E-01
5.40E+01,1.594131,5.08E-01
5.60E+01,1.619157,5.16E-01
5.79E+01,1.643739,5.23E-01
6.00E+01,1.669053,5.26E-01
6.19E+01,1.690223,5.25E-01
6.40E+01,1.709762,5.25E-01
6.61E+01,1.729441,5.23E-01
6.81E+01,1.747333,5.21E-01
7.00E+01,1.762824,5.17E-01
7.19E+01,1.777162,5.14E-01
7.40E+01,1.7908,5.10E-01
7.60E+01,1.805539,5.08E-01
7.80E+01,1.81911,5.02E-01
8.00E+01,1.830882,4.96E-01
8.20E+01,1.84233,4.91E-01
8.39E+01,1.851943,4.84E-01
8.59E+01,1.859854,4.77E-01
8.79E+01,1.867327,4.72E-01
8.99E+01,1.874242,4.65E-01
9.20E+01,1.880545,4.60E-01
9.40E+01,1.88633,4.55E-01
9.59E+01,1.891384,4.49E-01
9.79E+01,1.895435,4.43E-01
1.00E+02,1.899131,4.38E-01
1.10E+02,1.907505,4.18E-01
1.20E+02,1.911671,4.17E-01
1.30E+02,1.919973,4.19E-01
1.40E+02,1.927412,4.21E-01
1.50E+02,1.934154,4.26E-01
1.60E+02,1.941655,4.33E-01
1.70E+02,1.948419,4.40E-01
1.80E+02,1.955736,4.51E-01
1.90E+02,1.965156,4.61E-01
2.00E+02,1.974559,4.70E-01
2.10E+02,1.983438,4.78E-01
2.20E+02,1.992287,4.87E-01
2.30E+02,2.001418,4.96E-01
2.40E+02,2.010446,5.06E-01
2.50E+02,2.020318,5.14E-01
2.60E+02,2.029224,5.21E-01
2.70E+02,2.037243,5.28E-01
2.80E+02,2.045135,5.36E-01
2.90E+02,2.052476,5.43E-01
3.00E+02,2.059773,5.51E-01
3.20E+02,2.073976,5.66E-01
3.40E+02,2.086956,5.80E-01
3.60E+02,2.099543,5.97E-01
3.80E+02,2.112811,6.13E-01
4.00E+02,2.125742,6.29E-01
4.20E+02,2.139507,6.45E-01
4.40E+02,2.153213,6.59E-01
4.60E+02,2.166254,6.73E-01
4.80E+02,2.177335,6.85E-01
5.00E+02,2.188736,7.00E-01
5.20E+02,2.200349,7.13E-01
5.40E+02,2.210869,7.24E-01
5.60E+02,2.220374,7.36E-01
5.79E+02,2.228339,7.48E-01
6.00E+02,2.236685,7.62E-01
6.50E+02,2.254575,7.92E-01
7.00E+02,2.270109,8.31E-01
7.50E+02,2.290196,8.73E-01
8.00E+02,2.312599,9.12E-01
8.49E+02,2.337241,9.50E-01
8.99E+02,2.363856,9.84E-01
9.51E+02,2.385313,1.01E+00
1.00E+03,2.399111,1.04E+00
1.10E+03,2.43676,1.12E+00
1.20E+03,2.481153,1.19E+00
1.30E+03,2.527536,1.26E+00
1.40E+03,2.577344,1.33E+00
1.50E+03,2.629097,1.39E+00
1.60E+03,2.679108,1.45E+00
1.70E+03,2.729264,1.51E+00
1.80E+03,2.781861,1.57E+00
1.90E+03,2.831974,1.62E+00
2.00E+03,2.881863,1.67E+00
2.10E+03,2.9339,1.72E+00
2.20E+03,2.983258,1.76E+00
2.30E+03,3.032401,1.81E+00
2.40E+03,3.084049,1.85E+00
2.50E+03,3.133464,1.89E+00
2.60E+03,3.179887,1.93E+00
2.70E+03,3.228984,1.97E+00
2.80E+03,3.27947,2.01E+00
2.90E+03,3.326631,2.04E+00
3.00E+03,3.37461,2.08E+00
3.10E+03,3.422465,2.11E+00
3.20E+03,3.468221,2.14E+00
3.30E+03,3.516889,2.17E+00
3.40E+03,3.563346,2.20E+00
3.50E+03,3.607096,2.23E+00
3.60E+03,3.650102,2.25E+00
3.70E+03,3.695213,2.29E+00
3.80E+03,3.74193,2.31E+00
3.90E+03,3.785136,2.33E+00
4.00E+03,3.829496,2.36E+00
4.10E+03,3.873564,2.38E+00
4.20E+03,3.917021,2.40E+00
4.30E+03,3.960586,2.42E+00
4.40E+03,4.003601,2.45E+00
4.50E+03,4.045111,2.46E+00
4.60E+03,4.084851,2.48E+00
4.70E+03,4.125763,2.50E+00
4.80E+03,4.16654,2.52E+00
4.90E+03,4.207585,2.54E+00
5.00E+03,4.248425,2.55E+00
5.10E+03,4.288766,2.57E+00
5.20E+03,4.328263,2.58E+00
5.30E+03,4.367201,2.59E+00
5.40E+03,4.403706,2.61E+00
5.50E+03,4.442443,2.63E+00
5.60E+03,4.482558,2.64E+00
5.70E+03,4.51875,2.65E+00
5.80E+03,4.555811,2.66E+00
5.90E+03,4.593558,2.67E+00
6.00E+03,4.631138,2.69E+00
6.10E+03,4.667698,2.69E+00
6.20E+03,4.704528,2.71E+00
6.30E+03,4.740422,2.71E+00
6.40E+03,4.77647,2.72E+00
6.50E+03,4.8114,2.73E+00
6.60E+03,4.844068,2.74E+00
6.70E+03,4.881015,2.75E+00
6.80E+03,4.915201,2.75E+00
6.90E+03,4.946351,2.76E+00
7.00E+03,4.9798,2.77E+00
7.10E+03,5.013994,2.77E+00
7.20E+03,5.047771,2.78E+00
7.30E+03,5.083439,2.79E+00
7.40E+03,5.116001,2.79E+00
7.50E+03,5.146161,2.79E+00
7.60E+03,5.177179,2.80E+00
7.70E+03,5.209531,2.80E+00
7.80E+03,5.241539,2.80E+00
7.90E+03,5.273172,2.81E+00
8.00E+03,5.304929,2.81E+00
8.10E+03,5.336323,2.81E+00
8.20E+03,5.367389,2.82E+00
8.30E+03,5.398286,2.82E+00
8.40E+03,5.428878,2.83E+00
8.50E+03,5.459208,2.83E+00
8.60E+03,5.489262,2.83E+00
8.70E+03,5.519027,2.83E+00
8.80E+03,5.548489,2.83E+00
8.90E+03,5.577699,2.83E+00
9.00E+03,5.606586,2.83E+00
9.10E+03,5.635201,2.83E+00
9.20E+03,5.663535,2.84E+00
9.30E+03,5.691521,2.83E+00
9.40E+03,5.719272,2.83E+00
9.50E+03,5.746661,2.83E+00
9.60E+03,5.773802,2.83E+00
9.70E+03,5.800631,2.84E+00
9.80E+03,5.827179,2.83E+00
9.90E+03,5.853423,2.83E+00
1.00E+04,5.879378,2.83E+00
1.10E+04,6.131865,2.81E+00
1.20E+04,6.346035,2.77E+00
1.30E+04,6.538143,2.73E+00
1.40E+04,6.711149,2.68E+00
1.50E+04,6.867192,2.63E+00
1.60E+04,7.007965,2.58E+00
1.70E+04,7.135674,2.52E+00
1.80E+04,7.252419,2.46E+00
1.90E+04,7.358822,2.40E+00
2.00E+04,7.455943,2.34E+00
2.10E+04,7.544423,2.28E+00
2.20E+04,7.625553,2.22E+00
2.30E+04,7.701126,2.17E+00
2.40E+04,7.768902,2.11E+00
2.50E+04,7.831158,2.06E+00
2.60E+04,7.889643,2.01E+00
2.70E+04,7.941322,1.96E+00
2.80E+04,7.989355,1.91E+00
2.90E+04,8.033791,1.87E+00
3.00E+04,8.074469,1.82E+00
3.10E+04,8.11218,1.78E+00
3.20E+04,8.147128,1.74E+00
3.30E+04,8.179843,1.70E+00
3.40E+04,8.209818,1.66E+00
3.50E+04,8.238281,1.63E+00
3.60E+04,8.264599,1.59E+00
3.70E+04,8.288448,1.56E+00
3.80E+04,8.311297,1.53E+00
3.90E+04,8.332788,1.49E+00
4.00E+04,8.3527,1.46E+00
4.10E+04,8.371979,1.43E+00
4.20E+04,8.389151,1.40E+00
4.30E+04,8.405156,1.38E+00
4.40E+04,8.420858,1.35E+00
4.50E+04,8.43566,1.33E+00
4.60E+04,8.449912,1.30E+00
4.70E+04,8.462521,1.28E+00
4.80E+04,8.474673,1.26E+00
4.90E+04,8.48647,1.23E+00
5.00E+04,8.49729,1.21E+00
5.10E+04,8.507814,1.19E+00
5.20E+04,8.51749,1.17E+00
5.30E+04,8.526995,1.15E+00
5.40E+04,8.535947,1.13E+00
5.50E+04,8.54556,1.12E+00
5.60E+04,8.554652,1.10E+00
5.70E+04,8.563363,1.08E+00
5.80E+04,8.571605,1.06E+00
5.90E+04,8.579613,1.05E+00
6.00E+04,8.587191,1.03E+00
6.10E+04,8.594362,1.02E+00
6.20E+04,8.601342,1.00E+00
6.30E+04,8.607948,9.87E-01
6.40E+04,8.614382,9.73E-01
6.50E+04,8.620473,9.59E-01
6.60E+04,8.626323,9.46E-01
6.70E+04,8.63203,9.33E-01
6.80E+04,8.637431,9.20E-01
6.90E+04,8.642623,9.08E-01
7.00E+04,8.647693,8.96E-01
7.10E+04,8.652568,8.84E-01
7.20E+04,8.657181,8.73E-01
7.30E+04,8.661691,8.62E-01
7.40E+04,8.666029,8.51E-01
7.50E+04,8.670273,8.41E-01
7.60E+04,8.674287,8.30E-01
7.70E+04,8.678217,8.20E-01
7.80E+04,8.681999,8.10E-01
7.90E+04,8.685638,8.01E-01
8.00E+04,8.689204,7.91E-01
8.10E+04,8.692637,7.82E-01
8.20E+04,8.695941,7.73E-01
8.30E+04,8.699181,7.65E-01
8.40E+04,8.702404,7.56E-01
8.50E+04,8.705507,7.48E-01
8.60E+04,8.708553,7.39E-01
8.70E+04,8.711486,7.31E-01
8.80E+04,8.714366,7.24E-01
8.90E+04,8.717139,7.16E-01
9.00E+04,8.719808,7.08E-01
9.10E+04,8.722432,7.01E-01
9.20E+04,8.725011,6.94E-01
9.30E+04,8.727494,6.87E-01
9.40E+04,8.729884,6.80E-01
9.50E+04,8.732236,6.73E-01
9.60E+04,8.734549,6.66E-01
9.70E+04,8.736776,6.60E-01
9.80E+04,8.738919,6.53E-01
9.90E+04,8.741029,6.47E-01
1.00E+05,8.743107,6.41E-01
1.10E+05,8.761392,5.85E-01
1.20E+05,8.776133,5.38E-01
1.30E+05,8.788091,4.98E-01
1.40E+05,8.797836,4.64E-01
1.50E+05,8.804337,4.34E-01
1.60E+05,8.809677,4.07E-01
1.70E+05,8.814082,3.84E-01
1.80E+05,8.817867,3.63E-01
1.90E+05,8.821129,3.45E-01
2.00E+05,8.823834,3.28E-01
2.10E+05,8.826184,3.12E-01
2.20E+05,8.82823,2.98E-01
2.30E+05,8.830103,2.86E-01
2.40E+05,8.831656,2.74E-01
2.50E+05,8.833091,2.63E-01
2.60E+05,8.834348,2.54E-01
2.70E+05,8.835449,2.44E-01
2.80E+05,8.836475,2.36E-01
2.90E+05,8.837375,2.27E-01
3.00E+05,8.838141,2.20E-01
3.10E+05,8.838809,2.13E-01
3.20E+05,8.839434,2.06E-01
3.30E+05,8.84002,2.01E-01
3.40E+05,8.840491,1.94E-01
3.50E+05,8.840974,1.89E-01
3.60E+05,8.841394,1.84E-01
3.70E+05,8.84179,1.79E-01
3.80E+05,8.842166,1.74E-01
3.90E+05,8.842491,1.70E-01
4.00E+05,8.842801,1.66E-01
4.10E+05,8.843095,1.62E-01
4.20E+05,8.843349,1.58E-01
4.30E+05,8.843591,1.54E-01
4.40E+05,8.843823,1.51E-01
4.50E+05,8.844044,1.48E-01
4.60E+05,8.844254,1.45E-01
4.70E+05,8.844436,1.42E-01
4.80E+05,8.844609,1.39E-01
4.90E+05,8.844776,1.36E-01
5.00E+05,8.844936,1.33E-01
5.11E+05,8.845089,1.31E-01
5.20E+05,8.84522,1.28E-01
5.30E+05,8.845345,1.26E-01
5.40E+05,8.845467,1.23E-01
5.50E+05,8.845583,1.21E-01
5.60E+05,8.845696,1.19E-01
5.70E+05,8.845804,1.17E-01
5.79E+05,8.845896,1.15E-01
5.90E+05,8.845997,1.13E-01
6.00E+05,8.846082,1.11E-01
6.10E+05,8.846164,1.09E-01
6.19E+05,8.846244,1.08E-01
6.30E+05,8.846321,1.06E-01
6.40E+05,8.846396,1.04E-01
6.50E+05,8.846468,1.03E-01
6.61E+05,8.846538,1.01E-01
6.70E+05,8.846596,1.00E-01
6.81E+05,8.846662,9.86E-02
6.90E+05,8.846716,9.70E-02
7.00E+05,8.846769,9.57E-02
7.10E+05,8.846821,9.44E-02
7.19E+05,8.846871,9.29E-02
7.29E+05,8.84692,9.18E-02
7.40E+05,8.846967,9.05E-02
7.50E+05,8.847013,8.93E-02
7.60E+05,8.847058,8.83E-02
7.69E+05,8.847094,8.71E-02
7.80E+05,8.847137,8.59E-02
7.91E+05,8.847178,8.49E-02
8.00E+05,8.847212,8.39E-02
8.09E+05,8.847244,8.28E-02
8.20E+05,8.847283,8.18E-02
8.30E+05,8.847314,8.09E-02
8.39E+05,8.847344,7.98E-02
8.49E+05,8.847374,7.88E-02
8.59E+05,8.847403,7.79E-02
8.71E+05,8.847437,7.72E-02
8.79E+05,8.847459,7.62E-02
8.89E+05,8.847485,7.55E-02
8.99E+05,8.847512,7.46E-02
9.10E+05,8.847537,7.38E-02
9.20E+05,8.847563,7.31E-02
9.29E+05,8.847582,7.22E-02
9.40E+05,8.847606,7.14E-02
9.51E+05,8.84763,7.08E-02
9.59E+05,8.847648,7.00E-02
9.71E+05,8.847671,6.93E-02
9.79E+05,8.847688,6.85E-02
9.91E+05,8.84771,6.80E-02
1.00E+06,8.847727,6.73E-02
1.10E+06,8.847889,6.12E-02
1.20E+06,8.848013,5.62E-02
1.30E+06,8.848109,5.20E-02
1.40E+06,8.848183,4.83E-02
1.50E+06,8.848243,4.51E-02
1.60E+06,8.848291,4.23E-02
1.70E+06,8.84833,3.98E-02
1.80E+06,8.848364,3.77E-02
1.90E+06,8.848392,3.57E-02
2.00E+06,8.848415,3.39E-02
2.10E+06,8.848435,3.23E-02
2.20E+06,8.848452,3.09E-02
2.30E+06,8.848467,2.96E-02
2.40E+06,8.84848,2.84E-02
2.50E+06,8.848491,2.72E-02
2.60E+06,8.848501,2.62E-02
2.70E+06,8.84851,2.52E-02
2.80E+06,8.848518,2.44E-02
2.90E+06,8.848524,2.35E-02
3.00E+06,8.848531,2.27E-02
3.10E+06,8.848536,2.20E-02
3.20E+06,8.848541,2.13E-02
3.30E+06,8.848546,2.07E-02
3.40E+06,8.84855,2.01E-02
3.50E+06,8.848554,1.95E-02
3.60E+06,8.848557,1.90E-02
3.70E+06,8.84856,1.85E-02
3.80E+06,8.848563,1.80E-02
3.90E+06,8.848566,1.76E-02
4.00E+06,8.848568,1.71E-02
4.10E+06,8.84857,1.67E-02
4.20E+06,8.848572,1.63E-02
4.30E+06,8.848574,1.59E-02
4.40E+06,8.848576,1.56E-02
4.50E+06,8.848577,1.52E-02
4.60E+06,8.848579,1.49E-02
4.70E+06,8.84858,1.46E-02
4.80E+06,8.848581,1.43E-02
4.90E+06,8.848582,1.40E-02
5.00E+06,8.848584,1.37E-02
5.11E+06,8.848585,1.35E-02
5.20E+06,8.848585,1.32E-02
5.30E+06,8.848586,1.30E-02
5.40E+06,8.848587,1.27E-02
5.50E+06,8.848588,1.25E-02
5.60E+06,8.848589,1.23E-02
5.70E+06,8.848589,1.21E-02
5.79E+06,8.84859,1.19E-02
5.90E+06,8.848591,1.17E-02
6.00E+06,8.848591,1.15E-02
6.10E+06,8.848592,1.13E-02
6.19E+06,8.848592,1.11E-02
6.30E+06,8.848593,1.09E-02
6.40E+06,8.848593,1.08E-02
6.50E+06,8.848594,1.06E-02
6.61E+06,8.848594,1.04E-02
6.70E+06,8.848594,1.03E-02
6.81E+06,8.848595,1.02E-02
6.90E+06,8.848595,1.00E-02
7.00E+06,8.848595,9.86E-03
7.10E+06,8.848596,9.70E-03
7.19E+06,8.848596,9.57E-03
7.29E+06,8.848596,9.46E-03
7.40E+06,8.848596,9.33E-03
7.50E+06,8.848597,9.20E-03
7.60E+06,8.848597,9.09E-03
7.69E+06,8.848597,8.95E-03
7.80E+06,8.848597,8.85E-03
7.91E+06,8.848598,8.75E-03
8.00E+06,8.848598,8.63E-03
8.09E+06,8.848598,8.53E-03
8.20E+06,8.848598,8.43E-03
8.30E+06,8.848598,8.33E-03
8.39E+06,8.848598,8.22E-03
8.49E+06,8.848598,8.12E-03
8.59E+06,8.848599,8.03E-03
8.71E+06,8.848599,7.96E-03
8.79E+06,8.848599,7.85E-03
8.89E+06,8.848599,7.76E-03
8.99E+06,8.848599,7.69E-03
9.10E+06,8.848599,7.60E-03
9.20E+06,8.848599,7.53E-03
9.29E+06,8.848599,7.44E-03
9.40E+06,8.8486,7.36E-03
9.51E+06,8.8486,7.29E-03
9.59E+06,8.8486,7.21E-03
9.71E+06,8.8486,7.14E-03
9.79E+06,8.8486,7.06E-03
9.91E+06,8.8486,7.01E-03
1.00E+07,8.8486,6.93E-03
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
