wl,n,k
1.39E+00,1.314104,1.06E-04
1.40E+00,1.313871,1.53E-04
1.41E+00,1.313671,2.54E-04
1.42E+00,1.313518,3.20E-04
1.43E+00,1.313373,3.54E-04
1.44E+00,1.31322,3.63E-04
1.45E+00,1.313055,3.64E-04
1.46E+00,1.312888,3.60E-04
1.47E+00,1.312715,3.39E-04
1.48E+00,1.312525,3.02E-04
1.49E+00,1.312318,2.66E-04
1.50E+00,1.312093,2.25E-04
1.51E+00,1.311852,1.96E-04
1.52E+00,1.311604,1.74E-04
1.53E+00,1.311352,1.60E-04
1.54E+00,1.311097,1.44E-04
1.55E+00,1.310923,1.35E-04
1.56E+00,1.310659,1.24E-04
1.57E+00,1.310387,1.14E-04
1.58E+00,1.310114,1.07E-04
1.59E+00,1.309928,9.94E-05
1.60E+00,1.309642,9.35E-05
1.61E+00,1.309352,8.80E-05
1.62E+00,1.309055,8.31E-05
1.63E+00,1.308855,8.10E-05
1.64E+00,1.308548,7.90E-05
1.65E+00,1.308341,7.59E-05
1.66E+00,1.308021,7.40E-05
1.67E+00,1.307672,7.40E-05
1.68E+00,1.307435,7.50E-05
1.69E+00,1.307073,7.60E-05
1.70E+00,1.306829,7.74E-05
1.71E+00,1.306453,8.05E-05
1.72E+00,1.30607,8.41E-05
1.73E+00,1.305809,8.90E-05
1.74E+00,1.305413,9.51E-05
1.75E+00,1.305142,1.00E-04
1.76E+00,1.304727,1.05E-04
1.77E+00,1.304442,1.12E-04
1.78E+00,1.304155,1.22E-04
1.79E+00,1.303718,1.33E-04
1.80E+00,1.303418,1.36E-04
1.81E+00,1.302947,1.37E-04
1.82E+00,1.302616,1.38E-04
1.83E+00,1.302269,1.42E-04
1.84E+00,1.301709,1.55E-04
1.85E+00,1.301291,1.86E-04
1.86E+00,1.300633,3.20E-04
1.87E+00,1.300214,5.21E-04
1.88E+00,1.29986,7.22E-04
1.89E+00,1.299545,9.22E-04
1.90E+00,1.298998,1.16E-03
1.91E+00,1.298791,1.68E-03
1.92E+00,1.298793,1.83E-03
1.93E+00,1.298681,1.92E-03
1.94E+00,1.29859,1.91E-03
1.95E+00,1.298472,1.85E-03
1.96E+00,1.298308,1.72E-03
1.97E+00,1.298051,1.55E-03
1.98E+00,1.297607,1.40E-03
1.99E+00,1.297292,1.25E-03
2.00E+00,1.296913,1.10E-03
2.01E+00,1.296499,9.90E-04
2.02E+00,1.296066,8.89E-04
2.03E+00,1.295606,8.05E-04
2.04E+00,1.294919,7.39E-04
2.05E+00,1.294457,6.74E-04
2.06E+00,1.293973,6.21E-04
2.07E+00,1.293476,5.73E-04
2.08E+00,1.292966,5.29E-04
2.09E+00,1.292438,4.88E-04
2.10E+00,1.291899,4.64E-04
2.11E+00,1.291353,4.40E-04
2.12E+00,1.290795,4.18E-04
2.13E+00,1.290221,3.97E-04
2.14E+00,1.289634,3.83E-04
2.15E+00,1.289033,3.71E-04
2.16E+00,1.288418,3.59E-04
2.17E+00,1.287787,3.51E-04
2.18E+00,1.287139,3.43E-04
2.19E+00,1.286474,3.39E-04
2.20E+00,1.28579,3.38E-04
2.21E+00,1.285087,3.39E-04
2.22E+00,1.284365,3.41E-04
2.23E+00,1.283619,3.46E-04
2.24E+00,1.282852,3.57E-04
2.25E+00,1.282064,3.74E-04
2.26E+00,1.281256,3.90E-04
2.27E+00,1.280421,4.08E-04
2.28E+00,1.279561,4.29E-04
2.29E+00,1.278675,4.51E-04
2.30E+00,1.277755,4.69E-04
2.31E+00,1.276797,4.92E-04
2.32E+00,1.276305,5.11E-04
2.33E+00,1.275295,5.43E-04
2.34E+00,1.274257,6.00E-04
2.35E+00,1.273184,6.36E-04
2.36E+00,1.272062,6.85E-04
2.37E+00,1.270902,7.43E-04
2.38E+00,1.269682,7.92E-04
2.39E+00,1.269059,8.49E-04
2.40E+00,1.267787,9.09E-04
2.41E+00,1.26645,9.90E-04
2.42E+00,1.265059,1.07E-03
2.43E+00,1.263577,1.15E-03
2.44E+00,1.262824,1.25E-03
2.45E+00,1.261297,1.35E-03
2.46E+00,1.259683,1.47E-03
2.47E+00,1.257969,1.58E-03
2.48E+00,1.257102,1.71E-03
2.49E+00,1.255347,1.81E-03
2.50E+00,1.253465,1.90E-03
2.51E+00,1.251445,1.95E-03
2.52E+00,1.250383,1.99E-03
2.53E+00,1.248127,2.02E-03
2.54E+00,1.245672,2.07E-03
2.55E+00,1.243014,2.14E-03
2.56E+00,1.240167,2.27E-03
2.57E+00,1.23867,2.31E-03
2.58E+00,1.237089,2.34E-03
2.58E+00,1.235426,2.39E-03
2.59E+00,1.233679,2.43E-03
2.59E+00,1.231834,2.48E-03
2.61E+00,1.227769,2.58E-03
2.61E+00,1.225483,2.70E-03
2.62E+00,1.223082,2.98E-03
2.62E+00,1.220535,3.30E-03
2.63E+00,1.218078,4.02E-03
2.64E+00,1.215699,4.36E-03
2.65E+00,1.209954,4.83E-03
2.65E+00,1.206519,5.37E-03
2.66E+00,1.202951,6.28E-03
2.67E+00,1.199289,7.32E-03
2.67E+00,1.19534,8.55E-03
2.68E+00,1.19139,1.05E-02
2.69E+00,1.188087,1.27E-02
2.70E+00,1.179962,1.45E-02
2.70E+00,1.174582,1.64E-02
2.71E+00,1.168874,1.86E-02
